V_gen,V_med1,V_med2
2.829,621.0,624.0
2.831,623.0,620.0
2.833,615.0,615.0
2.836,618.0,615.0
2.838,618.0,619.0
2.841,619.0,614.0
2.843,617.0,617.0
2.846,616.0,612.0
2.848,621.0,620.0
2.851,618.0,620.0
2.853,617.0,622.0
2.855,623.0,619.0
2.858,628.0,626.0
2.86,629.0,627.0
2.863,632.0,633.0
2.865,636.0,635.0
2.868,635.0,635.0
2.87,632.0,633.0
2.872,634.0,629.0
2.875,630.0,627.0
2.877,631.0,629.0
2.88,625.0,628.0
2.882,626.0,629.0
2.885,623.0,624.0
2.887,628.0,623.0
2.89,628.0,626.0
2.892,623.0,630.0
2.894,629.0,632.0
2.897,634.0,631.0
2.899,628.0,634.0
2.902,637.0,640.0
2.904,638.0,640.0
2.907,639.0,641.0
2.909,646.0,640.0
2.912,643.0,643.0
2.914,640.0,640.0
2.916,638.0,642.0
2.919,637.0,639.0
2.921,635.0,636.0
2.924,637.0,635.0
2.926,633.0,636.0
2.929,637.0,631.0
2.931,632.0,635.0
2.934,635.0,632.0
2.936,637.0,633.0
2.938,639.0,640.0
2.941,642.0,638.0
2.943,644.0,646.0
2.946,643.0,644.0
2.948,649.0,652.0
2.951,655.0,648.0
2.953,654.0,650.0
2.956,657.0,651.0
2.958,649.0,652.0
2.96,648.0,650.0
2.963,644.0,648.0
2.965,645.0,643.0
2.968,647.0,642.0
2.97,642.0,647.0
2.973,642.0,646.0
2.975,646.0,643.0
2.978,645.0,644.0
2.98,649.0,647.0
2.982,652.0,652.0
2.985,650.0,653.0
2.987,655.0,653.0
2.99,658.0,655.0
2.992,662.0,664.0
2.995,657.0,662.0
2.997,659.0,665.0
3.0,668.0,664.0
3.002,657.0,660.0
3.004,657.0,661.0
3.007,657.0,653.0
3.009,657.0,656.0
3.012,652.0,653.0
3.014,651.0,656.0
3.017,655.0,650.0
3.019,658.0,652.0
3.021,658.0,653.0
3.024,659.0,654.0
3.026,660.0,658.0
3.029,660.0,661.0
3.031,671.0,666.0
3.034,669.0,666.0
3.036,671.0,668.0
3.039,672.0,672.0
3.041,675.0,669.0
3.043,672.0,672.0
3.046,669.0,666.0
3.048,667.0,669.0
3.051,664.0,667.0
3.053,664.0,664.0
3.056,661.0,659.0
3.058,664.0,660.0
3.061,666.0,663.0
3.063,661.0,665.0
3.065,663.0,667.0
3.068,666.0,670.0
3.07,667.0,673.0
3.073,671.0,678.0
3.075,675.0,683.0
3.078,681.0,681.0
3.08,679.0,678.0
3.083,686.0,684.0
3.085,677.0,677.0
3.087,681.0,675.0
3.09,674.0,679.0
3.092,676.0,675.0
3.095,677.0,676.0
3.097,671.0,678.0
3.1,675.0,672.0
3.102,678.0,677.0
3.105,672.0,670.0
3.107,679.0,678.0
3.109,677.0,679.0
3.112,675.0,681.0
3.114,681.0,683.0
3.117,686.0,682.0
3.119,687.0,688.0
3.122,686.0,695.0
3.124,691.0,691.0
3.127,691.0,688.0
3.129,692.0,688.0
3.131,694.0,686.0
3.134,689.0,687.0
3.136,685.0,684.0
3.139,684.0,683.0
3.141,681.0,680.0
3.144,684.0,682.0
3.146,680.0,684.0
3.149,688.0,680.0
3.151,682.0,684.0
3.153,687.0,688.0
3.156,684.0,685.0
3.158,691.0,689.0
3.161,691.0,691.0
3.163,696.0,697.0
3.166,700.0,699.0
3.168,698.0,697.0
3.17,703.0,702.0
3.173,702.0,700.0
3.175,697.0,704.0
3.178,703.0,701.0
3.18,693.0,695.0
3.183,693.0,695.0
3.185,697.0,694.0
3.188,694.0,694.0
3.19,689.0,695.0
3.192,696.0,695.0
3.195,693.0,690.0
3.197,694.0,695.0
3.2,696.0,698.0
3.202,699.0,700.0
3.205,704.0,704.0
3.207,706.0,702.0
3.21,705.0,704.0
3.212,710.0,706.0
3.214,716.0,712.0
3.217,717.0,709.0
3.219,712.0,710.0
3.222,713.0,709.0
3.224,709.0,706.0
3.227,711.0,703.0
3.229,706.0,705.0
3.232,708.0,704.0
3.234,704.0,703.0
3.236,703.0,706.0
3.239,703.0,701.0
3.241,705.0,706.0
3.244,709.0,707.0
3.246,712.0,710.0
3.249,710.0,711.0
3.251,716.0,710.0
3.254,712.0,718.0
3.256,718.0,720.0
3.258,719.0,722.0
3.261,723.0,709.0
3.263,719.0,717.0
3.266,719.0,718.0
3.268,717.0,718.0
3.271,713.0,718.0
3.273,718.0,713.0
3.276,714.0,716.0
3.278,714.0,712.0
3.28,716.0,710.0
3.283,709.0,709.0
3.285,710.0,714.0
3.288,713.0,716.0
3.29,716.0,714.0
3.293,718.0,720.0
3.295,719.0,724.0
3.298,725.0,727.0
3.3,728.0,729.0
3.302,731.0,728.0
3.305,731.0,734.0
3.307,734.0,731.0
3.31,734.0,731.0
3.312,732.0,727.0
3.315,727.0,726.0
3.317,727.0,728.0
3.319,721.0,725.0
3.322,726.0,724.0
3.324,725.0,724.0
3.327,724.0,724.0
3.329,727.0,724.0
3.332,722.0,725.0
3.334,727.0,731.0
3.337,727.0,726.0
3.339,728.0,731.0
3.341,731.0,731.0
3.344,735.0,738.0
3.346,738.0,740.0
3.349,741.0,740.0
3.351,735.0,739.0
3.354,740.0,741.0
3.356,738.0,733.0
3.359,733.0,733.0
3.361,731.0,729.0
3.363,730.0,731.0
3.366,732.0,736.0
3.368,729.0,729.0
3.371,735.0,736.0
3.373,735.0,734.0
3.376,735.0,732.0
3.378,736.0,736.0
3.381,737.0,740.0
3.383,737.0,743.0
3.385,744.0,747.0
3.388,747.0,744.0
3.39,746.0,749.0
3.393,750.0,745.0
3.395,748.0,750.0
3.398,749.0,745.0
3.4,748.0,746.0
3.403,746.0,747.0
3.405,739.0,740.0
3.407,741.0,743.0
3.41,745.0,742.0
3.412,739.0,743.0
3.415,741.0,745.0
3.417,744.0,745.0
3.42,743.0,741.0
3.422,748.0,748.0
3.425,747.0,746.0
3.427,754.0,755.0
3.429,752.0,757.0
3.432,758.0,755.0
3.434,760.0,756.0
3.437,756.0,759.0
3.439,756.0,759.0
3.442,756.0,757.0
3.444,753.0,755.0
3.447,757.0,752.0
3.449,752.0,754.0
3.451,748.0,753.0
3.454,752.0,748.0
3.456,751.0,754.0
3.459,751.0,756.0
3.461,751.0,751.0
3.464,757.0,755.0
3.466,759.0,754.0
3.468,757.0,760.0
3.471,758.0,766.0
3.473,765.0,767.0
3.476,764.0,770.0
3.478,770.0,766.0
3.481,769.0,765.0
3.483,770.0,764.0
3.486,769.0,769.0
3.488,768.0,761.0
3.49,760.0,761.0
3.493,759.0,763.0
3.495,762.0,758.0
3.498,762.0,765.0
3.5,762.0,758.0
3.503,758.0,763.0
3.505,765.0,761.0
3.508,768.0,767.0
3.51,766.0,767.0
3.512,769.0,770.0
3.515,775.0,774.0
3.517,772.0,772.0
3.52,778.0,776.0
3.522,778.0,775.0
3.525,776.0,778.0
3.527,780.0,775.0
3.53,777.0,773.0
3.532,774.0,770.0
3.534,770.0,770.0
3.537,775.0,771.0
3.539,773.0,768.0
3.542,772.0,768.0
3.544,772.0,773.0
3.547,769.0,773.0
3.549,772.0,771.0
3.552,776.0,775.0
3.554,772.0,779.0
3.556,777.0,780.0
3.559,782.0,781.0
3.561,783.0,783.0
3.564,791.0,785.0
3.566,783.0,791.0
3.569,786.0,785.0
3.571,785.0,785.0
3.574,790.0,780.0
3.576,787.0,782.0
3.578,780.0,782.0
3.581,784.0,780.0
3.583,777.0,783.0
3.586,784.0,777.0
3.588,779.0,778.0
3.591,781.0,782.0
3.593,779.0,784.0
3.596,783.0,787.0
3.598,785.0,787.0
3.6,786.0,791.0
3.603,795.0,789.0
3.605,794.0,791.0
3.608,800.0,795.0
3.61,799.0,793.0
3.613,794.0,800.0
3.615,797.0,793.0
3.617,796.0,796.0
3.62,790.0,787.0
3.622,795.0,789.0
3.625,792.0,789.0
3.627,791.0,791.0
3.63,790.0,787.0
3.632,794.0,791.0
3.635,789.0,793.0
3.637,794.0,796.0
3.639,794.0,792.0
3.642,796.0,799.0
3.644,797.0,797.0
3.647,797.0,805.0
3.649,799.0,803.0
3.652,807.0,802.0
3.654,809.0,803.0
3.657,808.0,805.0
3.659,811.0,801.0
3.661,800.0,804.0
3.664,801.0,799.0
3.666,805.0,800.0
3.669,804.0,798.0
3.671,797.0,796.0
3.674,801.0,798.0
3.676,801.0,801.0
3.679,801.0,802.0
3.681,798.0,799.0
3.683,808.0,805.0
3.686,808.0,804.0
3.688,812.0,812.0
3.691,808.0,817.0
3.693,815.0,820.0
3.696,814.0,819.0
3.698,812.0,817.0
3.701,815.0,818.0
3.703,812.0,816.0
3.705,810.0,809.0
3.708,812.0,811.0
3.71,810.0,810.0
3.713,811.0,807.0
3.715,810.0,808.0
3.718,810.0,806.0
3.72,810.0,813.0
3.723,811.0,812.0
3.725,816.0,814.0
3.727,812.0,812.0
3.73,816.0,815.0
3.732,820.0,822.0
3.735,820.0,823.0
3.737,826.0,823.0
3.74,828.0,828.0
3.742,830.0,823.0
3.745,823.0,826.0
3.747,821.0,828.0
3.749,819.0,820.0
3.752,822.0,816.0
3.754,821.0,817.0
3.757,818.0,814.0
3.759,820.0,819.0
3.762,817.0,820.0
3.764,826.0,817.0
3.766,822.0,818.0
3.769,820.0,825.0
3.771,821.0,822.0
3.774,824.0,826.0
3.776,830.0,832.0
3.779,831.0,837.0
3.781,836.0,833.0
3.784,836.0,832.0
3.786,836.0,837.0
3.788,836.0,839.0
3.791,832.0,836.0
3.793,832.0,828.0
3.796,832.0,832.0
3.798,825.0,830.0
3.801,828.0,825.0
3.803,831.0,831.0
3.806,830.0,826.0
3.808,830.0,831.0
3.81,827.0,834.0
3.813,833.0,829.0
3.815,831.0,836.0
3.818,832.0,835.0
3.82,839.0,838.0
3.823,843.0,843.0
3.825,844.0,844.0
3.828,844.0,845.0
3.83,843.0,844.0
3.832,846.0,843.0
3.835,840.0,839.0
3.837,844.0,842.0
3.84,840.0,836.0
3.842,840.0,840.0
3.845,837.0,838.0
3.847,838.0,835.0
3.85,842.0,838.0
3.852,841.0,844.0
3.854,838.0,840.0
3.857,843.0,842.0
3.859,839.0,841.0
3.862,846.0,846.0
3.864,843.0,845.0
3.867,854.0,847.0
3.869,848.0,850.0
3.872,858.0,855.0
3.874,855.0,854.0
3.876,857.0,855.0
3.879,852.0,856.0
3.881,854.0,850.0
3.884,849.0,846.0
3.886,846.0,850.0
3.889,850.0,847.0
3.891,848.0,847.0
3.894,850.0,848.0
3.896,848.0,846.0
3.898,846.0,845.0
3.901,847.0,847.0
3.903,847.0,856.0
3.906,853.0,854.0
3.908,851.0,852.0
3.911,859.0,862.0
3.913,861.0,860.0
3.915,862.0,866.0
3.918,864.0,866.0
3.92,863.0,864.0
3.923,862.0,863.0
3.925,868.0,864.0
3.928,864.0,863.0
3.93,860.0,862.0
3.933,860.0,860.0
3.935,862.0,856.0
3.937,860.0,855.0
3.94,860.0,859.0
3.942,860.0,862.0
3.945,857.0,856.0
3.947,860.0,861.0
3.95,862.0,863.0
3.952,863.0,860.0
3.955,862.0,862.0
3.957,863.0,868.0
3.959,872.0,871.0
3.962,873.0,869.0
3.964,870.0,872.0
3.967,871.0,873.0
3.969,873.0,878.0
3.972,875.0,871.0
3.974,872.0,874.0
3.977,873.0,872.0
3.979,868.0,869.0
3.981,866.0,867.0
3.984,871.0,868.0
3.986,869.0,875.0
3.989,869.0,869.0
3.991,867.0,866.0
3.994,866.0,870.0
3.996,871.0,871.0
3.999,874.0,873.0
4.001,878.0,875.0
4.003,881.0,877.0
4.006,876.0,879.0
4.008,878.0,878.0
4.011,884.0,883.0
4.013,887.0,887.0
4.016,890.0,889.0
4.018,888.0,886.0
4.021,889.0,885.0
4.023,884.0,885.0
4.025,885.0,880.0
4.028,879.0,879.0
4.03,878.0,876.0
4.033,877.0,877.0
4.035,876.0,877.0
4.038,877.0,876.0
4.04,880.0,876.0
4.043,879.0,883.0
4.045,882.0,883.0
4.047,883.0,884.0
4.05,885.0,887.0
4.052,891.0,885.0
4.055,887.0,891.0
4.057,888.0,889.0
4.06,895.0,897.0
4.062,896.0,899.0
4.064,897.0,897.0
4.067,898.0,897.0
4.069,897.0,896.0
4.072,897.0,896.0
4.074,891.0,893.0
4.077,895.0,890.0
4.079,893.0,891.0
4.082,892.0,890.0
4.084,888.0,888.0
4.086,890.0,888.0
4.089,889.0,893.0
4.091,887.0,890.0
4.094,891.0,890.0
4.096,895.0,891.0
4.099,894.0,894.0
4.101,894.0,898.0
4.104,896.0,897.0
4.106,906.0,903.0
4.108,907.0,906.0
4.111,906.0,907.0
4.113,903.0,902.0
4.116,906.0,904.0
4.118,903.0,902.0
4.121,905.0,907.0
4.123,901.0,899.0
4.126,900.0,899.0
4.128,899.0,897.0
4.13,899.0,899.0
4.133,897.0,896.0
4.135,897.0,898.0
4.138,901.0,902.0
4.14,897.0,905.0
4.143,907.0,904.0
4.145,905.0,906.0
4.148,912.0,904.0
4.15,905.0,912.0
4.152,912.0,910.0
4.155,915.0,912.0
4.157,918.0,919.0
4.16,915.0,916.0
4.162,921.0,917.0
4.165,917.0,913.0
4.167,916.0,918.0
4.17,913.0,910.0
4.172,913.0,912.0
4.174,908.0,909.0
4.177,911.0,909.0
4.179,908.0,908.0
4.182,915.0,907.0
4.184,909.0,907.0
4.187,912.0,911.0
4.189,912.0,914.0
4.191,912.0,914.0
4.194,921.0,920.0
4.196,920.0,916.0
4.199,922.0,919.0
4.201,926.0,924.0
4.204,928.0,930.0
4.206,926.0,923.0
4.209,929.0,928.0
4.211,928.0,927.0
4.213,924.0,920.0
4.216,920.0,921.0
4.218,920.0,923.0
4.221,917.0,921.0
4.223,921.0,922.0
4.226,920.0,920.0
4.228,920.0,918.0
4.231,921.0,922.0
4.233,925.0,919.0
4.235,920.0,925.0
4.238,925.0,927.0
4.24,925.0,928.0
4.243,927.0,931.0
4.245,930.0,935.0
4.248,939.0,937.0
4.25,937.0,937.0
4.253,941.0,942.0
4.255,940.0,937.0
4.257,938.0,934.0
4.26,938.0,940.0
4.262,937.0,931.0
4.265,930.0,930.0
4.267,934.0,929.0
4.27,931.0,931.0
4.272,931.0,934.0
4.275,933.0,929.0
4.277,928.0,928.0
4.279,930.0,933.0
4.282,933.0,933.0
4.284,933.0,935.0
4.287,936.0,933.0
4.289,939.0,936.0
4.292,941.0,940.0
4.294,941.0,944.0
4.297,944.0,943.0
4.299,950.0,946.0
4.301,950.0,946.0
4.304,950.0,952.0
4.306,950.0,950.0
4.309,949.0,950.0
4.311,948.0,947.0
4.314,946.0,944.0
4.316,948.0,940.0
4.319,943.0,949.0
4.321,945.0,946.0
4.323,941.0,940.0
4.326,946.0,943.0
4.328,941.0,939.0
4.331,942.0,946.0
4.333,944.0,947.0
4.336,943.0,944.0
4.338,947.0,948.0
4.34,945.0,952.0
4.343,951.0,950.0
4.345,953.0,952.0
4.348,952.0,959.0
4.35,955.0,961.0
4.353,961.0,964.0
4.355,961.0,960.0
4.358,960.0,961.0
4.36,958.0,957.0
4.362,956.0,962.0
4.365,959.0,959.0
4.367,958.0,958.0
4.37,949.0,955.0
4.372,952.0,954.0
4.375,956.0,953.0
4.377,956.0,953.0
4.38,951.0,956.0
4.382,960.0,955.0
4.384,952.0,958.0
4.387,956.0,954.0
4.389,957.0,957.0
4.392,961.0,963.0
4.394,966.0,964.0
4.397,966.0,963.0
4.399,966.0,965.0
4.402,969.0,975.0
4.404,973.0,969.0
4.406,969.0,968.0
4.409,968.0,971.0
4.411,975.0,976.0
4.414,968.0,967.0
4.416,963.0,969.0
4.419,963.0,965.0
4.421,967.0,967.0
4.424,961.0,961.0
4.426,963.0,959.0
4.428,967.0,967.0
4.431,965.0,962.0
4.433,966.0,963.0
4.436,965.0,966.0
4.438,971.0,972.0
4.441,967.0,970.0
4.443,971.0,975.0
4.446,973.0,978.0
4.448,980.0,974.0
4.45,979.0,980.0
4.453,979.0,979.0
4.455,980.0,981.0
4.458,983.0,986.0
4.46,984.0,980.0
4.463,977.0,976.0
4.465,976.0,982.0
4.468,977.0,976.0
4.47,970.0,980.0
4.472,976.0,973.0
4.475,971.0,975.0
4.477,977.0,970.0
4.48,974.0,973.0
4.482,976.0,978.0
4.485,974.0,973.0
4.487,979.0,980.0
4.489,981.0,982.0
4.492,978.0,983.0
4.494,985.0,985.0
4.497,991.0,986.0
4.499,991.0,991.0
4.502,991.0,994.0
4.504,993.0,988.0
4.507,993.0,993.0
4.509,987.0,985.0
4.511,990.0,983.0
4.514,988.0,985.0
4.516,986.0,984.0
4.519,983.0,987.0
4.521,987.0,979.0
4.524,981.0,985.0
4.526,980.0,982.0
4.529,982.0,984.0
4.531,987.0,989.0
4.533,988.0,984.0
4.536,991.0,989.0
4.538,989.0,994.0
4.541,998.0,992.0
4.543,995.0,995.0
4.546,1002.0,999.0
4.548,1002.0,997.0
4.551,1002.0,997.0
4.553,1000.0,993.0
4.555,998.0,997.0
4.558,991.0,995.0
4.56,994.0,989.0
4.563,991.0,986.0
4.565,988.0,991.0
4.568,992.0,990.0
4.57,990.0,987.0
4.573,990.0,995.0
4.575,992.0,994.0
4.577,997.0,993.0
4.58,996.0,999.0
4.582,997.0,998.0
4.585,1005.0,1001.0
4.587,1003.0,1009.0
4.59,1004.0,1007.0
4.592,1003.0,1001.0
4.595,1005.0,1004.0
4.597,1000.0,1004.0
4.599,997.0,1000.0
4.602,995.0,998.0
4.604,994.0,995.0
4.607,1000.0,997.0
4.609,993.0,999.0
4.612,999.0,994.0
4.614,994.0,996.0
4.617,1001.0,995.0
4.619,1001.0,997.0
4.621,1003.0,1003.0
4.624,1006.0,1010.0
4.626,1007.0,1009.0
4.629,1007.0,1009.0
4.631,1010.0,1013.0
4.634,1008.0,1013.0
4.636,1009.0,1013.0
4.638,1008.0,1009.0
4.641,1006.0,1007.0
4.643,1008.0,1004.0
4.646,1005.0,1005.0
4.648,1000.0,1000.0
4.651,1007.0,999.0
4.653,1006.0,1004.0
4.656,1000.0,1000.0
4.658,1005.0,1005.0
4.66,1003.0,1007.0
4.663,1009.0,1007.0
4.665,1008.0,1008.0
4.668,1009.0,1011.0
4.67,1009.0,1010.0
4.673,1017.0,1015.0
4.675,1014.0,1019.0
4.678,1017.0,1020.0
4.68,1016.0,1014.0
4.682,1017.0,1016.0
4.685,1019.0,1012.0
4.687,1017.0,1016.0
4.69,1009.0,1011.0
4.692,1006.0,1009.0
4.695,1007.0,1005.0
4.697,1006.0,1007.0
4.7,1014.0,1008.0
4.702,1011.0,1012.0
4.704,1012.0,1010.0
4.707,1007.0,1010.0
4.709,1013.0,1009.0
4.712,1017.0,1011.0
4.714,1012.0,1018.0
4.717,1021.0,1019.0
4.719,1017.0,1021.0
4.722,1018.0,1022.0
4.724,1020.0,1022.0
4.726,1023.0,1021.0
4.729,1020.0,1017.0
4.731,1018.0,1017.0
4.734,1019.0,1017.0
4.736,1015.0,1018.0
4.739,1015.0,1014.0
4.741,1014.0,1019.0
4.744,1016.0,1013.0
4.746,1013.0,1013.0
4.748,1014.0,1011.0
4.751,1015.0,1013.0
4.753,1016.0,1012.0
4.756,1017.0,1019.0
4.758,1018.0,1023.0
4.761,1022.0,1023.0
4.763,1023.0,1023.0
4.766,1023.0,1023.0
4.768,1023.0,1023.0
4.77,1023.0,1023.0
4.773,1023.0,1023.0
4.775,1023.0,1023.0
4.778,1021.0,1018.0
4.78,1018.0,1017.0
4.783,1019.0,1019.0
4.785,1021.0,1018.0
4.787,1017.0,1020.0
4.79,1015.0,1016.0
4.792,1014.0,1018.0
4.795,1013.0,1018.0
4.797,1015.0,1017.0
4.8,1018.0,1019.0
4.802,1023.0,1023.0
4.805,1023.0,1023.0
4.807,1023.0,1023.0
4.809,1023.0,1023.0
4.812,1023.0,1023.0
4.814,1023.0,1023.0
4.817,1023.0,1023.0
4.819,1023.0,1023.0
4.822,1023.0,1023.0
4.824,1023.0,1023.0
4.827,1022.0,1021.0
4.829,1019.0,1023.0
4.831,1018.0,1020.0
4.834,1023.0,1021.0
4.836,1019.0,1022.0
4.839,1023.0,1019.0
4.841,1023.0,1019.0
4.844,1023.0,1022.0
4.846,1023.0,1023.0
4.849,1023.0,1023.0
4.851,1023.0,1023.0
4.853,1023.0,1023.0
4.856,1023.0,1023.0
4.858,1023.0,1023.0
4.861,1023.0,1023.0
4.863,1023.0,1023.0
4.866,1023.0,1023.0
4.868,1023.0,1023.0
4.871,1023.0,1023.0
4.873,1023.0,1023.0
4.875,1023.0,1023.0
4.878,1023.0,1023.0
4.88,1022.0,1023.0
4.883,1023.0,1023.0
4.885,1023.0,1023.0
4.888,1023.0,1023.0
4.89,1023.0,1023.0
4.893,1023.0,1023.0
4.895,1023.0,1023.0
4.897,1023.0,1023.0
4.9,1023.0,1023.0
4.902,1023.0,1023.0
4.905,1023.0,1023.0
4.907,1023.0,1023.0
4.91,1023.0,1023.0
4.912,1023.0,1023.0
4.915,1023.0,1023.0
4.917,1023.0,1023.0
4.919,1023.0,1023.0
4.922,1023.0,1023.0
4.924,1023.0,1023.0
4.927,1023.0,1023.0
4.929,1023.0,1023.0
4.932,1023.0,1023.0
4.934,1023.0,1023.0
4.936,1023.0,1023.0
4.939,1023.0,1023.0
4.941,1023.0,1023.0
4.944,1023.0,1023.0
4.946,1023.0,1023.0
4.949,1023.0,1023.0
4.951,1023.0,1023.0
4.954,1023.0,1023.0
4.956,1023.0,1023.0
4.958,1023.0,1023.0
4.961,1023.0,1023.0
4.963,1023.0,1023.0
4.966,1023.0,1023.0
4.968,1023.0,1023.0
4.971,1023.0,1023.0
4.973,1023.0,1023.0
4.976,1023.0,1023.0
4.978,1023.0,1023.0
4.98,1023.0,1023.0
4.983,1023.0,1023.0
4.985,1023.0,1023.0
4.988,1023.0,1023.0
4.99,1023.0,1023.0
4.993,1023.0,1023.0
4.995,1023.0,1023.0
4.998,1023.0,1023.0
5.0,1023.0,1023.0
