V_gen,V_med1,V_med2
0.645,137.0,140.0
0.647,134.0,133.0
0.65,136.0,137.0
0.652,134.0,136.0
0.655,137.0,137.0
0.657,142.0,135.0
0.66,139.0,135.0
0.662,139.0,136.0
0.664,140.0,142.0
0.667,138.0,142.0
0.669,138.0,139.0
0.672,144.0,146.0
0.674,144.0,146.0
0.677,148.0,147.0
0.679,147.0,151.0
0.681,154.0,150.0
0.684,150.0,156.0
0.686,155.0,154.0
0.689,157.0,152.0
0.691,150.0,149.0
0.694,148.0,147.0
0.696,146.0,146.0
0.699,146.0,146.0
0.701,151.0,147.0
0.703,144.0,143.0
0.706,145.0,150.0
0.708,151.0,149.0
0.711,151.0,148.0
0.713,149.0,152.0
0.716,151.0,148.0
0.718,152.0,152.0
0.721,154.0,154.0
0.723,157.0,157.0
0.725,158.0,155.0
0.728,156.0,156.0
0.73,163.0,161.0
0.733,165.0,163.0
0.735,164.0,162.0
0.738,165.0,168.0
0.74,166.0,164.0
0.743,163.0,161.0
0.745,162.0,161.0
0.747,162.0,158.0
0.75,158.0,159.0
0.752,158.0,159.0
0.755,160.0,156.0
0.757,156.0,156.0
0.76,158.0,160.0
0.762,163.0,155.0
0.765,155.0,161.0
0.767,157.0,164.0
0.769,159.0,160.0
0.772,164.0,161.0
0.774,167.0,166.0
0.777,164.0,170.0
0.779,168.0,173.0
0.782,170.0,168.0
0.784,175.0,173.0
0.787,173.0,178.0
0.789,171.0,178.0
0.791,178.0,180.0
0.794,174.0,174.0
0.796,177.0,175.0
0.799,172.0,174.0
0.801,174.0,175.0
0.804,174.0,173.0
0.806,168.0,168.0
0.809,171.0,172.0
0.811,172.0,170.0
0.813,171.0,174.0
0.816,173.0,168.0
0.818,160.0,172.0
0.821,173.0,175.0
0.823,171.0,174.0
0.826,174.0,173.0
0.828,180.0,177.0
0.83,178.0,181.0
0.833,182.0,182.0
0.835,182.0,184.0
0.838,188.0,190.0
0.84,183.0,187.0
0.843,186.0,188.0
0.845,188.0,183.0
0.848,187.0,185.0
0.85,185.0,183.0
